epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.8,2.29273,18.4016,1.55068,0,0,0,0,1.55801,9.36741,1.12217,4e-05,4e-05,4e-05
2,1095.4,1.69989,12.5511,1.1725,0,0,0,0,1.61821,9.41178,1.11074,9.901e-05,9.901e-05,9.901e-05
3,1664.35,1.39732,11.0757,1.03245,0,0,0,0,1.57789,9.28821,1.08795,0.000156832,0.000156832,0.000156832
4,2185.89,1.33012,10.4953,1.01047,0.00182,0.54545,0.29451,0.11423,1.46421,9.52158,1.03843,0.000213466,0.000213466,0.000213466
5,2751.81,1.37751,8.33101,1.11301,0,0,0,0,1.39149,9.38219,1.05329,0.000268912,0.000268912,0.000268912
6,3366.23,1.21905,8.57903,1.04588,0,0,0,0,1.33938,9.59646,1.04987,0.00032317,0.00032317,0.00032317
7,3974.42,1.19018,8.41286,1.04941,0,0,0,0,1.25283,9.80641,1.03678,0.00037624,0.00037624,0.00037624
8,4558.7,1.1947,8.95611,1.02343,0,0,0,0,1.25338,9.65313,1.0333,0.000428122,0.000428122,0.000428122
9,5143.8,1.2414,8.76683,1.0672,0.0003,0.09091,0.00036,0.00014,1.27318,9.61985,1.02598,0.000478816,0.000478816,0.000478816
10,5703.12,1.2961,7.13928,1.04574,0.0003,0.09091,0.0003,3e-05,1.20813,9.7288,1.04436,0.000528322,0.000528322,0.000528322
11,6275.4,1.21835,7.70677,1.10146,0,0,0,0,1.25585,9.61789,1.05061,0.00057664,0.00057664,0.00057664
12,6840.63,1.19823,7.75364,1.0687,0,0,0,0,1.2651,9.50947,1.05316,0.00062377,0.00062377,0.00062377
13,7405.42,1.18802,7.51875,1.09547,0,0,0,0,1.212,9.95769,1.05742,0.000669712,0.000669712,0.000669712
14,7993.57,1.21676,6.68615,1.09706,0,0,0,0,1.21569,9.70568,1.17433,0.000714466,0.000714466,0.000714466
15,8538.93,1.20702,6.46679,1.07577,0,0,0,0,1.16987,9.5115,1.08822,0.000758032,0.000758032,0.000758032
16,9068.6,1.14231,5.37521,1.01344,0,0,0,0,1.17231,9.58412,1.08651,0.00080041,0.00080041,0.00080041
