epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6879,2.17841,14.6041,1.53008,0,0,0,0,1.13613,5.43594,1.00418,0,0,0
2,19.8404,2.94476,18.961,1.76011,0,0,0,0,1.13771,5.5162,1.00076,1.802e-05,1.802e-05,1.802e-05
3,29.5273,2.51306,13.7319,1.38103,0,0,0,0,1.13328,5.60541,0.99541,3.208e-05,3.208e-05,3.208e-05
4,39.1441,2.14875,16.4339,1.22065,0,0,0,0,1.10822,5.65024,0.99038,4.218e-05,4.218e-05,4.218e-05
5,48.5314,1.89309,11.2506,1.2388,0,0,0,0,1.09921,5.65258,0.98486,4.832e-05,4.832e-05,4.832e-05
6,57.7745,1.6152,13.111,1.02372,0,0,0,0,1.07485,5.73045,0.97613,5.05e-05,5.05e-05,5.05e-05
7,67.0832,1.5643,10.7615,1.02805,0,0,0,0,1.04723,5.79036,0.96734,4.872e-05,4.872e-05,4.872e-05
8,76.3222,1.73945,10.6852,1.228,0.00111,0.33333,0.00078,0.00054,1.01908,5.81572,0.96063,4.298e-05,4.298e-05,4.298e-05
9,85.4069,1.59819,12.2434,1.12096,0.00111,0.33333,0.0008,0.00064,0.99575,5.91503,0.95763,3.328e-05,3.328e-05,3.328e-05
10,95.065,1.65545,11.955,1.10287,0.00111,0.33333,0.00084,0.00067,0.98623,5.9528,0.95644,1.962e-05,1.962e-05,1.962e-05
